Rating,Review Date,Employee,Description
5.0,"Feb 11, 2016","Former  Employee  in Portland, Oregon",[' We had free breakfast and lunch at work. Cool selection of snacks.']
5.0,"Feb 09, 2016","Current  Employee  in Sunnyvale, California","[' 5 weeks vacation after 5 years, 401k, free food, free phone, gym.']"
5.0,"Feb 02, 2016","Former  Principal Software Engineer  in Sunnyvale, California",[' Perks like the juice bar or company phone and unlimited data plan for personal line etc.']
5.0,"Jan 28, 2016","Current  Senior Software Engineer (Ic4)  in Sunnyvale, California","[' Great healthcare benefits, free food and pretty long paternity/maternity leaves.']"
2.0,"Feb 11, 2016","Former  Principal Software Engineer  in San Francisco, California",[' Nothing can make Yahoo a worthwhile place to work.']
3.0,"Feb 10, 2016","Current  Employee  in Sunnyvale, California",[' Standard benefits - nothing too exciting. Pro: Get lunch as an extra. Con: 401k matching is way below other companies.']
5.0,"Jan 20, 2016","Current  Employee  in San Francisco, California",[' Excellent maternity and paternity leave.']
5.0,"Jan 19, 2016","Current  Operations Center Engineer  in Lockport, New York State","["" You can tell that you're reaping the benefits of a company headquartered on the West coast in CA, and that's a technology giant, while living/working in Western NY, no other company can compare to the benefits offered here strictly from a free food and health insurance perspective.""]"
3.0,"Jan 28, 2016","Former  Employee  in Ira, Iowa","[' Pension, Holidays and Insurance are the best benefits']"
4.0,"Jan 18, 2016","Current  Employee  in San Francisco, California","[' Matched 401k and life insurance, free meals, good work/life balance']"
4.0,"Jan 17, 2016","Former  Employee  in Sunnyvale, California",[' Free phone and free food.']
4.0,"Jan 13, 2016","Former  Senior Software Test Engineer  in Santa Clara, California","[' Every thing about benefits at Yahoo is above average level of companies I worked, and to put it simple, is good enough in bay area.']"
5.0,"Jan 12, 2016","Current  Director  in Sunnyvale, California","[' Yahoo offers a pretty robust benefits package that includes 25% matching on 401k with no vesting period, unlimited sick days, and a no paycheck contribution option for employee med/dental/vision. Downside is not ESPP.']"
5.0,"Jan 12, 2016","Current  Employee  in New York, New York State","[' Free lunch, top rated healthcare benefits (medical, vision and dental) as well as optional upgrade for life insurance too.']"
5.0,"Jan 07, 2016","Current  Employee  in San Francisco, California",[' Pretty standard benefits. 401k matching is good']
4.0,"Jan 02, 2016","Former  Employee  in Sunnyvale, California","[' great benefits, good perks for employees']"
5.0,"Dec 29, 2015","Current  Employee  in Los Angeles, California",[' Fantastic perks and benefits for employees.']
5.0,"Dec 22, 2015","Former  Employee  in Sunnyvale, California",[' great benefits for all employees and new parents in particular']
3.0,"Dec 10, 2015","Former  Business Operations  in Sunnyvale, California",[' contractor paid well. not benefits']
5.0,"Dec 07, 2015","Current  Employee  in Sunnyvale, California","[' Amazing in-network Cigna plan, 401k match, timeoff/vacation benefits, maternity/paternity, FSA, HSA.']"
5.0,"Dec 06, 2015","Current  Quality Associate II  in Hillsboro, Oregon","[' There are so many great benefits at Yahoo. Excellent and low cost medical, dental and vision insurance through Kaiser or Cinga. Also, there are great tuition, travel, maternity/paternity, and long term leave, as well as free mobile phones and nice laptops to use. Moreover, there are lots of holiday and vacation hours available as accrued throughout the year. Lastly, the 401k is 100% matched at whatever you input which is a great retirement perk.']"
4.0,"Dec 06, 2015","Current  Technical Yahoo  in Sunnyvale, California","[' Company perks include free food - 3 meal a day - breakfast, lunch and dinner and also free coffee made by baristas in the various building cafes. I have been extremely satisfied with the food options here as it also saves money and time compared to eating out.']"
3.0,"Dec 09, 2015","Current  Employee  in Omaha, Nebraska","[' Best is the medical insurance. Its relatively cheap. The worst is 401k contribution, they only match 25%.']"
5.0,"Nov 18, 2015","Former  Employee  in Sunnyvale, California","[' Free food all day, paid holidays (as an intern), free access to Stanford health clinic (as intern), and many more.']"
3.0,"Dec 01, 2015","Current  Employee  in Sunnyvale, California",[' health care rates seem to be going up consistently while coverage is not necessarily getting better']
5.0,"Nov 17, 2015","Current  Vice President Product Management  in Sunnyvale, California","[' Fantastic food, great benefits, free health center with a doctor on-site at Sunnyvale']"
4.0,"Nov 14, 2015","Former  Director, Program Management  in Sunnyvale, California","[' Nice profit sharing, good health benefits, great fast lunch']"
5.0,"Nov 11, 2015","Former  Employee  in Burbank, California","["" Yahoo! gives you an option to choose a health plan that you don't need to pay anything at all. They pay the first portion up to an amount and then you start paying co-pay. Their 401k is also great with matching. Overall, their benefits package is one of the best in the industry.""]"
3.0,"Nov 17, 2015","Former  Employee  in Sunnyvale, California","[' Four weeks paid time off, free breakfast, lunch, and dinner, free gym, juice and coffee bar']"
5.0,"Nov 09, 2015","Former  Employee  in Santa Monica, California","["" Benefits package is the best part about working at Yahoo. Free health insurance, with a minuscule monthly to upgrade from an HMO to PPO. Dental, vision, life insurance, 401k match, free lunch and endless snacks, gym membership, free phone and phone plans + discounts for your family (although you have to return the phone if you leave), all the bells and whistles. There really is no worst part. They def try to keep talent around with perks to compensate for the tense work environment where you're constantly at risk of being laid off.""]"
5.0,"Nov 10, 2015","Former  Senior Program Manager  in Sunnyvale, California",[' Great parental leave program. Awesome free food everywhere.']
5.0,"Nov 02, 2015","Current  Employee  in Sunnyvale, California",[' Yahoo provides best benefits in the bay area']
3.0,"Nov 11, 2015","Current  Senior Systems Engineer  in Sunnyvale, California","[' Kind of follow the standard in the industry. Free food, frequent celebration events, ok insurance, 401k with match.']"
3.0,"Nov 07, 2015","Current  Tech Yahoo Software Dev Engineer Senior  in Sunnyvale, California",[' Free food and coffee/juice bar is wonderful. Recently they got rid of ESPP.']
5.0,"Oct 23, 2015","Former  Technical Yahoo  in Sunnyvale, California","[' 1 day per year charity, vacation days++ every 5 years of service, 10% discount on ESPP purchase (allowed to purchase up to 10% of annual salary), free breakfast, lunch and dinner, free coffee, snacks, free vending machines, gym, sauna, volleyball court, soccer court, bocce ball court, showers in all buildings, sleeping rooms, free shuttle..']"
3.0,"Nov 06, 2015","Former  Employee  in Sunnyvale, California","[' free medical plan on 2004, but, not free since 2006, and price was increased every year.']"
4.0,"Oct 19, 2015","Former  Employee  in Sunnyvale, California","[' Great health care, paid time off, supportive HR department - never had any problems with the benefits package at Yahoo.']"
3.0,"Nov 01, 2015","Former  Employee  in San Francisco, California","[' Gym refund, Daily lunch']"
5.0,"Oct 18, 2015","Former  Employee  in Sunnyvale, California","["" Good benefits, everything was in place like it's supposed to in well respected company, they care about you.""]"
5.0,"Oct 16, 2015","Former  Employee  in Sunnyvale, California","["" If stuck in a group with polarizing priorities then glass ceiling is inevitable. May be that is the same with any enterprise. Creativity and assertiveness may pave the way. Most of the time if major shake-up is on its way, it could hit you like lightning. I've gone through 3 lay-off and rehire before the termination date. No complaint - every time it is a wake-up call to reality and psych up my survival skill.""]"
4.0,"Oct 14, 2015","Current  Customer Care Agent  in Hillsboro, Oregon","["" Great benefits. Not flexible in the WFH space for the most part. Benefits package is good, but wages aren't competitive.""]"
5.0,"Oct 09, 2015","Current  Employee  in Atlanta, Georgia","[' Good health plan, everything is cheap.']"
5.0,"Oct 06, 2015","Former  Employee  in Sunnyvale, California","[' The benefit package at Yahoo covered many unconventional areas, including adoption expenses. It was a really comprehensive set of benefits to address a wide variety of life situations.']"
5.0,"Oct 06, 2015","Former  Sales Director  in Sunnyvale, California","[' The health insurance is very good, matching 401k is awesome, employee stock purchase plan is great and the matching donation contributions from the Yahoo Employee Foundation are a bonus for your charities. Not to mention free breakfast, lunch, snacks, drinks & coffee.']"
4.0,"Oct 07, 2015","Former  Product Marketing Manager  in Sunnyvale, California","[' Great food, educational benefits, 401k']"
4.0,"Sep 29, 2015","Current  Employee  in Sunnyvale, California","["" Good but not great paternity and maternity leave. Benefits are generally very generous, but there's sometimes strange penny-pinching.""]"
4.0,"Sep 29, 2015","Former  Employee  in Sunnyvale, California",[' Health insurance is PPO which is more flexible. You get 3 month maternity leave and you can take']
3.0,"Oct 01, 2015","Current  Employee  in Sunnyvale, California",[' No sign on bonus. RSU was a bit low']
3.0,"Sep 25, 2015","Former  Employee  in Sunnyvale, California",[' Yahoo has very good health benefits']
5.0,"Sep 24, 2015","Current  Employee  in Los Angeles, California","[' Definitely the benefits and perks have been upgraded since Marissa became CEO. Free food, matching 401K, gym reimbursement, discounts, great healthcare, 16 weeks of maternity leave!!!']"
4.0,"Sep 23, 2015","Former  Employee  in Sunnyvale, California","[' health, 401k, vacation, discounts, food, no espp, RSU, Paternity Leave, Accident Insurance']"
5.0,"Sep 21, 2015","Former  Employee  in Hillsboro, Oregon","[' Worst is working 7 days a week, no holidays. But holiday pay was fair, insurance was affordable, stock options and 401k were good.']"
5.0,"Sep 19, 2015","Former  Employee  in Sunnyvale, California","[' Free breakfast, lunch and dinner. Free smoothies and fresh juices. Free barista made coffees.']"
5.0,"Sep 15, 2015","Current  Employee  in Sunnyvale, California","[' Free food, free health on campus and lot more']"
5.0,"Sep 13, 2015","Current  Employee  in Omaha, Nebraska","["" For a single guy, the benefits are exactly what I need. I go with the lowest plan and I don't pay a thing, but feel covered should I need it. Retirement plan is great as well.""]"
4.0,"Sep 13, 2015","Current  Technical Yahoo! Software Applications Dev Engineer  in Sunnyvale, California",[' Base is good. Free food is good.']
4.0,"Sep 12, 2015","Former  Employee  in Sunnyvale, California","["" The annual bonus is based on the calendar year, so if you get hired after January, you don't qualify for it that first year.""]"
5.0,"Sep 08, 2015","Former  Employee  in Santa Monica, California","[' Medical, Dental, and Vision are amazing. Yahoo pays far more than the average employer towards these. 401k matched. Plus other internal stock buy ins.']"
1.0,"Sep 15, 2015","Former  Employee  in Portland, Oregon","[' No benifits as a contractor, and after hire package was minimal and expensive.']"
4.0,"Sep 02, 2015","Former  Software Engineer  in Sunnyvale, California",[' yahoo benefits package is good.']
5.0,"Sep 01, 2015","Current  Employee  in Sunnyvale, California","[' Competitive benefits, but no ESPP']"
5.0,"Sep 01, 2015","Former  Employee  in Burbank, California",[' Yahoo! had some of the best healthcare offered anywhere. The amount an employee had to pay was very low and provided excellent coverage.']
4.0,"Aug 27, 2015","Former  Employee  in Sunnyvale, California",[' Benefits program was comprehensive and represented a good value for employees with families. The HR team was very knowledgeable about the options and would walk you through any questions.']
4.0,"Aug 25, 2015","Former  Employee  in Sunnyvale, California",[' Free Food and Gym onsite were some of the perks employees find useful.']
4.0,"Aug 20, 2015","Former  Senior Software Engineer  in Sunnyvale, California",[' 401k match and ESPP are not on par with other good companies']
5.0,"Aug 18, 2015","Former  Product Manager  in New York, New York State","["" Domestic partner benefits! Absolutely life-changing for a young couple that hasn't yet gotten around to getting married. Yahoo's generous benefits helped my partner focus on his start-up – that eventually went public. :)""]"
5.0,"Aug 17, 2015","Former  Employee  in Hillsboro, Oregon",[' Benefits are better than most companies at Yahoo. Vacation is standard along with most tech companies.']
5.0,"Aug 13, 2015","Former  Employee  in Hillsboro, Oregon","[' Free iphone and service is a nice perk, Quality food on site made to order is an underrated benefit.']"
3.0,"Aug 18, 2015","Former  Software Engineer  in Sunnyvale, California","["" I was an intern so I didn't really get any of the benefits that a full-time would get, but as an intern, Yahoo is a great company to work for.""]"
5.0,"Aug 11, 2015","Current  Senior Software Engineer  in San Francisco, California","[' Positives: Generous maternity/paternity leave - 8 weeks paid. Free high quality food. Generous vacation > 3 weeks after a couple of years. Negatives: 401k match is a little low, and WFH is still mostly frowned upon']"
5.0,"Aug 11, 2015","Current  Employee  in Sunnyvale, California",[' New parent benefit is simply amazing. Got to spend a good 8 weeks with my new born.']
3.0,"Aug 13, 2015","Former  Employee  in Sunnyvale, California",[' the 401k matching was good. although all the investment options are not very attractive. PTO is kind of weak at that time.']
5.0,"Jul 27, 2015","Former  Program Manager  in Burbank, California","[' The best thing about the benefits package is how comprehensive it is. Good medical/dental/life/LTD insurance, 401k with a good company match, stock purchase, and stock options. Also, good PTO policies.']"
4.0,"Jul 28, 2015","Former  Account Manager   in Chicago, Illinois","[' 401k, stock options, health and fitness reimbursement']"
4.0,"Jul 27, 2015","Current  Employee  in Sunnyvale, California",[' Great free food and gym. Good health plan. very nice campus.']
4.0,"Jul 24, 2015","Former  Senior Product Manager  in Sunnyvale, California","["" RSUs, great maternity/paternity leave, decent medical, dental, free food, coffee, and a pleasant work environment. No real complaints about the benefits now that they've moved from options to RSUs.""]"
4.0,"Jul 23, 2015","Former  Customer Care Associate  in Williamsville, New York State","["" Yahoo has literally the best benefits of any company I have worked for. I left a federal job to come here for their benefits. Worst part though was health insurance. It was Cigna, which is based on in California, where Yahoo is headquartered but they did not have very many doctors and health care providers that they contracted with for their in network plan (which was the cheapest and best option if you don't have a family).""]"
3.0,"Jul 24, 2015","Former  User Experience Designer  in Sunnyvale, California","[' $100 phone credit, relocation package is covered up to $5000 dollars.']"
3.0,"Jul 23, 2015","Current  Technical Yahoo! Senior Software Applications Developer E  in Sunnyvale, California",[' In campus free medical checkup - full fledged doctor office in campus']
4.0,"Jul 20, 2015","Current  Employee  in Sunnyvale, California","[' -401K only matches to $3K - 3 weeks paid vacation - Stanford Clinic on-site and subsidized - Health insurance is OK, but definitely not the best. - Bonuses have been weak because of past performance (rightfully so). -on campus gym is nice']"
4.0,"Jul 20, 2015","Former  Employee  in Sunnyvale, California",[' They gave a very generous stipend to the interns to relocate! We can use it towards a Yahoo provided place or keep the stipend and find your own place.']
5.0,"Jul 17, 2015","Former  Senior Product Marketing Manager  in Sunnyvale, California","[' Excellent health care/insurance, 401K. Vacation is standard. Food was excellent.']"
5.0,"Jul 16, 2015","Current  Employee  in Sunnyvale, California","[' Wonderful benefits, very competitive with Silicon Valley. Maternity and paternity is a highlight! 401k match could be higher. Tuition assistance could also be improved.']"
5.0,"Jul 14, 2015","Former  Senior Manager  in Santa Monica, California",[' Great package as the company wants to attract and retain talent.']
5.0,"Jul 14, 2015","Current  Employee  in New York, New York State","[' Free breakfast and lunch, Monthly gym subsidy, Company phone provided, Good health insurance']"
5.0,"Jul 13, 2015","Current  Employee  in San Francisco, California",[' - 401K matching is really high. - Sick time is not tracked. - Comprehensive health care packages - Gym subsidies']
3.0,"Jul 22, 2015","Former  Senior Consultant  in Sunnyvale, California","["" I was a contract worker so I didn't have benefits. However, I did have access and free use of Full Service gym.""]"
3.0,"Jul 17, 2015","Former  Employee  in Lockport, New York State",[' great package but not beneficial to the providers in my area']
2.0,"Jul 13, 2015","Former  Employee  in Sunnyvale, California",[' pay is not bad. no options.']
4.0,"Jul 12, 2015","Current  UX Researcher   in Sunnyvale, California","[' As an intern I do not get any Benefit packages. However, food is free and there are other great employee friendly aspects about Yahoo that make it a great place to work.']"
4.0,"Jul 09, 2015","Current  Senior Researcher  in Sunnyvale, California",[' Excellent dinning rooms and diverse choices.']
5.0,"Jul 05, 2015","Former  Engineer  in Sunnyvale, California",[' The benefits package is amazing and top notch.']
4.0,"Jul 03, 2015","Current  Employee  in Santa Monica, California",[' Generous benefits which attempts to keep up with competitors. YahOo recently cut ESPP from benefits which was unfortunate for all.']
4.0,"Jul 01, 2015","Former  Employee  in Sunnyvale, California",[' The company has tried to really step up the benefits over the last few years but health benefit costs consistently increase each year.']
5.0,"Jun 30, 2015","Current  Employee  in Sunnyvale, California","[' Food, Insurance, onsite benefits and services are the best.']"
5.0,"Jun 30, 2015","Former  Director of Engineering  in Dallas, Texas","[' Very generous benefits, Yahoo truly strives to provide workforce with a good work/life balance.']"
4.0,"Jun 28, 2015","Current  Employee  in San Francisco, California","[' PTO starts at 15 days a year, 401k 25% match, transportation 25% pre-tax, good health coverage, phone monthly bill paid in full and latest smartphone every two years.']"
3.0,"Jul 02, 2015","Former  Employee  in Sunnyvale, California",[' Good: Free lunches Bad: No equity']
3.0,"Jun 30, 2015","Current  Employee  in Hillsboro, Oregon","[' vacation seems great, but most people are too nervous to use it all.']"
4.0,"Jun 26, 2015","Current  Employee  in Sunnyvale, California",[' Yahoo subsidizes a lot so health insurance to cover the family was pretty affordable (']
4.0,"Jun 25, 2015","Former  Technical Trainer  in Sunnyvale, California","[' The benefits were amazing while working at Yahoo. Free food, free phone, and many activities to keep employees motivated.']"
5.0,"Jun 24, 2015","Current  Employee  in Miami, Florida",[' All the different discounts including the free food and gym reimbursement.']
4.0,"Jun 23, 2015","Former  Mdc  in Portland, Oregon","["" The hours weren't long and they always paid overtime""]"
5.0,"Jun 19, 2015","Former  Employee  in Santa Clara, California",[' Bonuses and swag - also cafeteria on campuses.']
5.0,"Jun 16, 2015","Current  Employee  in Boston, Massachusetts",[' 16 weeks maternity leave and unlimited sick days']
4.0,"Jun 15, 2015","Current  Employee  in Portland, Oregon",[' Health insurance was very good for the cost.']
5.0,"Jun 15, 2015","Current  Employee  in Omaha, Nebraska","["" Yahoo provides excellent benefits for it's employees including free food each day, fantastic health benefits and a very generous 401K. Employees are very well cared for with other items such as top-end laptops, and current cell-phone options.""]"
4.0,"Jun 09, 2015","Former  Senior Account Manager  in Boston, Massachusetts","["" Best: Free Food, Free phone, Maternity leave, gym reimbursement, medical, dental, vision, philanthropic benefits, sabbatical after 5 years Worst: Sabbatical is unpaid, Yahoo is constantly understaffed and so vacation and maternity leave has a negative connotation. If you take these benefits you've earned then you are extremely behind at work and your team is left to somewhat pick up the pieces. If vacation pay could be cashed out it would at least provide some benefit to those who never get to use this time and eventually lose it.""]"
5.0,"Jun 04, 2015","Former  Account Manager  in New York, New York State","[' great benefits -- health, free food, 401k, ESPP']"
5.0,"Jun 02, 2015","Former  Employee  in Omaha, Nebraska","[' The benefits are amazing, unlimited sick leave and generous PTO. The even give you free cell phone and free lunch/snackrooms.']"
4.0,"May 27, 2015","Former  Advertising Specialist   in Sunnyvale, California","[' Excellent health and dental benefits. Was given the option for an EPO. They used to offset costs tremendously, 1997-2006 they were completely free to whole families.']"
4.0,"May 26, 2015","Former  Senior Software Engineer  in Sunnyvale, California",[' Great health insurance; lousy gym reimbursement.']
5.0,"May 17, 2015","Former  Employee  in Sunnyvale, California","[' Strong 401k, competitive salary, long espp period (2 year), free coffee bar, fun parties/picnics etc.']"
5.0,"May 15, 2015","Current  Senior Software Engineer (Ic4)  in Sunnyvale, California","[' Best would be health insurance, parenting/adoption benefits, paid leaves, flexible working hours Worst would be 401k']"
4.0,"May 15, 2015","Former  Employee  in Los Angeles, California","[' Health coverage is outstanding -- heavily subsidized, ample choices, etc. Stock purchase plan and 401k both recommended. Vacation accrual is solid, though starting point could be better.']"
4.0,"May 14, 2015","Former  Employee  in Sunnyvale, California",[' Very good health insurance. Good free food for three meals.']
5.0,"May 14, 2015","Former  Human Resources  in Burbank, California",[' Insurance benefits are very good price']
3.0,"May 27, 2015","Current  Employee  in Sunnyvale, California","[' parental leave policy, free food']"
3.0,"May 24, 2015","Former  Employee  in Sunnyvale, California","[' 15 days of PTO, 25% 401k match']"
4.0,"May 11, 2015","Current  Employee  in Sunnyvale, California",[' Great new baby benefits. Parents of new born can take 8 weeks of paid leaves within 1 year of child birth.']
4.0,"Apr 30, 2015","Former  Employee  in Sunnyvale, California",[' Very good package. 401(k) is good too.']
5.0,"Apr 30, 2015","Former  Customer Experience Coach  in La Vista, Nebraska",[' The benefits package for Yahoo is one of the best in the industry.']
5.0,"Apr 30, 2015","Former  Employee  in Sunnyvale, California",[' they had a very comprehensive set of benefits']
5.0,"Apr 24, 2015","Former  Technical Yahoo  in Sunnyvale, California","[' Generous medical, dental, and vision insurance. No paid sabbatical (need to use accumulated vacation)']"
4.0,"Apr 16, 2015","Current  Employee  in Sunnyvale, California","[' Free lunches, new parent leave is amongst the best in Silicon Valley; 401k is average; No ESPP; vacation policy is average.']"
5.0,"Apr 15, 2015","Former  Senior Technical Yahoo  in Sunnyvale, California","[' The health, dental and life insurance covers everything and they offer Kaiser which some big companies have dropped to cut costs.']"
3.0,"Apr 16, 2015","Current  Senior Product Manager  in Sunnyvale, California","[' Sabbatical after 5 years , no ESPP though.']"
1.0,"May 06, 2015","Former  Employee  in Ashburn, Virginia",[' There are no perks when you look at other tech companies']
3.0,"Apr 08, 2015","Former  Employee  in Sunnyvale, California","[' Food is great, I think it is comparable to Google and linkedin. Yahoo has an excellent gym.']"
5.0,"Apr 06, 2015","Current  Tech Yahoo  in Sunnyvale, California",[' Perks are the best at Yahoo.']
5.0,"Apr 03, 2015","Former  Account Manager  in Hillsboro, Oregon","[' GREAT benefits, especially vision and dental. Lots of options and packages, providing several options for employees.']"
4.0,"Apr 03, 2015","Current  Employee  in Sunnyvale, California","[' 401K (employer matches up to 25%), 2 weeks vacation 1st year, then 3 weeks, then up to 5 weeks. Free food/soda/snacks. 10 holidays, sick days. Free gym. Cygna and Kaiser health insurance (PPO, HMOs, etc), FSA, HSA']"
4.0,"Mar 30, 2015","Former  Employee  in Burbank, California",[' The infertility benefit was great.']
4.0,"Mar 29, 2015","Current  Sales  in Sunnyvale, California",[' Nice healthcare coverage with choices. 401k is underfunded.']
4.0,"Mar 29, 2015","Former  Employee  in Hillsboro, Oregon",[' Good overall benefits but no short term disability or stock options.']
3.0,"Apr 06, 2015","Current  Employee  in Sunnyvale, California","[' Free food, 401(k) 25% match, No ESPP, Cigna health insurance']"
5.0,"Mar 19, 2015","Former  Software Engineering Manager  in Sunnyvale, California",[' The 401K match was good. Education reimbursement and flexible work schedules.']
5.0,"Mar 18, 2015","Former  Employee  in Sunnyvale, California","[' Good health insurance, 401k match and sabbatical after 5 years in the company.']"
5.0,"Mar 17, 2015","Current  Employee  in Sunnyvale, California",[' health and dental insurance are top notch. Free food and company busses']
5.0,"Mar 12, 2015","Current  Employee  in Sunnyvale, California","[' Best in class benefits (maternity, food, coffee, etc)']"
4.0,"Mar 12, 2015","Current  Employee  in Sunnyvale, California",[' Standard benefits package including paid vacation and 401K. ESPP is recently discontinued which is a bummer. There are a lot of perks working on the main campus.']
4.0,"Mar 12, 2015","Current  Technical Yahoo  in Sunnyvale, California",[' They used to have a very good benefit package before cancelling the 401K plan.']
4.0,"Mar 11, 2015","Former  Employee  in Sunnyvale, California",[' Best: Health and Dental Shuttle Service Free Coffee and Food']
4.0,"Mar 06, 2015","Former  Technical Yahoo  in Sunnyvale, California",[' The company provides many events that friends and family are invited to']
5.0,"Mar 03, 2015","Current  Employee  in Sunnyvale, California",[' Salary is quiet good bonus is low']
4.0,"Mar 02, 2015","Former  Employee  in Sunnyvale, California",[' Free foods and great health plan']
5.0,"Feb 28, 2015","Current  Software Engineer Intern  in Sunnyvale, California",[' Yahoo gives a lot of free food']
2.0,"Mar 06, 2015","Current  Employee  in Sunnyvale, California","[' Benefits are good at the work place. Free food, good location, 401k. The bad part us espp has been withdrawn. Paid vacation is good.']"
5.0,"Feb 16, 2015","Former  Employee  in Sunnyvale, California",[' The maternity/paternity and sabatical leaves are extremely awesome.']
5.0,"Jan 23, 2015","Former  Employee  in New York, New York State",[' great health insurance plan.']
3.0,"Feb 11, 2015","Former  Employee  in Sunnyvale, California","[' Best: mobile phones, free food, free drinks & snacks, onsite gym Worst: No ESPP, sabbatical not paid']"
3.0,"Feb 03, 2015","Current  Architect  in Sunnyvale, California",[' Best - Perks Worst - 401K']
4.0,"Dec 29, 2014","Former  Employee  in Omaha, Nebraska","[' Excellent Health, Dental, 401K, ESPP Cell phone Free snacks and lunches Good vacation plan']"
5.0,"Dec 25, 2014","Former  Employee  in San Diego, California",[' Paid paternity leave upto 8 weeks']
4.0,"Dec 24, 2014","Current  Senior Engineering Manager  in Sunnyvale, California",[' Best are food selections. Free lunches.']
2.0,"Jan 07, 2015","Former  Employee  in Sunnyvale, California",[' This was the worst job assignment that I have even taken. Very disorganized and little training with a long commute.']
3.0,"Dec 24, 2014","Current  Software Engineer (Tech Yahoo Soft Applications Dev Engineer)  in Sunnyvale, California",[' not equal contribution from employer like other companies']
4.0,"Dec 03, 2014","Current  Tech Yahoo  in Champaign, Illinois","[' Good pay, benefits, health insurance and vacation policy. Stocks could have been higher.']"
5.0,"Dec 01, 2014","Current  Senior Front-End Engineer  in Santa Monica, California",[' 2 months of paternity/maternity is awesome']
5.0,"Nov 30, 2014","Current  Account Executive  in Portland, Oregon","[' Incredible selection of benefits and perks. Free food all day, good PTO and great 401k contribution']"
5.0,"Nov 30, 2014","Current  Senior Software Engineer  in San Francisco, California","[' Great benefits, including same or different gender domestic partner.']"
5.0,"Nov 22, 2014","Current  Employee  in Santa Clara, California",[' 8 weeks of paid maternity leave']
5.0,"Nov 20, 2014","Current  Employee  in Sunnyvale, California",[' Best thing - 401K Worst - stock']
4.0,"Nov 20, 2014","Current  Employee  in Sunnyvale, California","[' On-site gym and free food are among the best things. Medical, dental, and vision insurances are good. 401k match could be better']"
5.0,"Nov 16, 2014","Former  Employee  in Sunnyvale, California","[' Very good benefits package, matching 401 K and plenty of vacation.']"
5.0,"Nov 13, 2014","Former  Project Manager  in Burbank, California",[' Excellent benefits package! Very low employee contribution amounts for health insurance.']
5.0,"Nov 12, 2014","Former  Technical Yahoo  in Sunnyvale, California",[' Benefits was up to par if not better than major tech companies in SV']
5.0,"Nov 12, 2014","Former  Network Operations Engineer  in Buffalo, New York State","[' Stock Options, Benefits, 401K match not sure it was equal match or not. Benefits are very good.']"
3.0,"Nov 09, 2014","Current  Employee  in Sunnyvale, California",[' It is comparable to other great companies in valley.']
5.0,"Nov 07, 2014","Former  Visual Designer  in Santa Monica, California",[' Yahoo offers excellent benefits for all there employees!']
5.0,"Nov 03, 2014","Former  Employee  in Los Angeles, California","[' Full line up of great benefits, no complaints.']"
4.0,"Oct 27, 2014","Former  Senior Media Strategist  in New York, New York State",[' The overall package was very good since being revamped by Marissa Meyer.']
5.0,"Oct 15, 2014","Current  Customer Care Agent  in Buffalo, New York State",[' Basic Dental/Health/Vision insurance plan is free!']
5.0,"Oct 10, 2014","Current  Employee  in Sunnyvale, California","[' generous PTO, 401k match, ESPP, good health plan. great overall package.']"
5.0,"Oct 07, 2014","Former  Employee  in Sunnyvale, California","[' Benefits are really good. Free breakfast, lunch and dinner (after 7pm), free snacks, big modern gym, choice of 4 healthcare plans (from HMO to really good PPO options), vision (through VSP), Dental (Delta Dental), ESPP, 401K, and life insurance all provided.']"
3.0,"Oct 21, 2014","Former  Service Engineer  in Sunnyvale, California","[' Cell phone is cool Free food is cool but greasy. Health insurance was a crappy plan (Cigna) Standard three weeks ""PTO"" Employee stock plan is nice but they dropped the discount from 15% to 10% No regular telecommute Company gym On-site oil changes monthly On-site medical van monthly']"
5.0,"Oct 03, 2014","Former  Employee  in Sunnyvale, California",[' Competitive benefits like other respected Silicon Valley companies']
4.0,"Oct 02, 2014","Current  Employee  in Hillsboro, Oregon",[' Free food is a big plus']
3.0,"Oct 10, 2014","Current  Senior Software Engineer (Ic4)  in Sunnyvale, California","["" Cigna Open Access Plus (PPO-style) plan has details that increase out-of-pocket expenses over other plans I've had, such as Blue Cross PPO, namely separate in-network and out-of-network deductibles, and certain medications excluded from the formulary.""]"
5.0,"Oct 01, 2014","Former  Technical Yahoo  in Burbank, California",[' The lunch was free and we have free food and drinks in the office. The cubic was huge and working space was peaceful.']
5.0,"Sep 28, 2014","Current  Product Manager  in Sunnyvale, California","[' Amazing perks, especially at Sunnyvale HQ location. Employees can choose their laptops from top of the line Macbook Airs to Windows ultrabooks, all highly specced out. Gourmet multicuisine cafeteria, wifi equipped shuttles, modern gyms with fitness classes, massages, workstations including standup desks, etc. All employees get a company phone with choice of latest iPhone or a new model Android.']"
4.0,"Sep 12, 2014","Current  Employee  in Sunnyvale, California",[' Gourmet free food and snacks is great!']
5.0,"Sep 06, 2014","Former  Employee  in Sunnyvale, California",[' Good benefits but not great compared to other tech companies']
5.0,"Sep 03, 2014","Current  Executive Assistant  in Sunnyvale, California","[' Unfortunately, not pet friendy as the CEO has a phobia, otherwise possibly the best benefits out there']"
5.0,"Sep 01, 2014","Current  Executive Assistant  in Sunnyvale, California","["" It's actually pretty awesome! Great benefits package, and many more perks/events for the employees at work. Free breakfast, lunch and dinner saves employees a great deal of money as well.""]"
